query_image,rank,candidate_image,num_matches,average_confidence,verification,notes
A06_17_01_M_roh_-_Kopie.jpg,1,IMG_20250717_104525.jpg,62,0.4845620989799499,,
A06_17_01_M_roh_-_Kopie.jpg,2,IMG-20250717-WA0013.jpg,68,0.4173697829246521,,
A06_17_01_M_roh_-_Kopie.jpg,3,H01_14_03_M_roh.jpeg,56,0.5020363926887512,,
A06_17_01_M_roh_-_Kopie.jpg,4,IMG-20250919-WA0009.jpg,64,0.4330697059631347,,
A06_17_01_M_roh_-_Kopie.jpg,5,A08_18_08_M_roh.jpeg,64,0.4198014140129089,,
A06_17_02_W__roh.jpg,1,IMG-20250607-WA0003.jpg,256,0.8197000026702881,,
A06_17_02_W__roh.jpg,2,A06_15_02_W_roh.jpeg,263,0.7927739024162292,,
A06_17_02_W__roh.jpg,3,A06_12_01_W_roh.jpeg,230,0.8024798631668091,,
A06_17_02_W__roh.jpg,4,IMG-20250607-WA0006.jpg,233,0.7473397254943848,,
A06_17_02_W__roh.jpg,5,IMG-20250910-WA0030.jpg,112,0.4575725197792053,,
A06_17_04_W_roh.jpg,1,IMG_20250717_105046.jpg,258,0.6647529006004333,,
A06_17_04_W_roh.jpg,2,A06_14_02_W_roh.jpg,86,0.4960982203483581,,
A06_17_04_W_roh.jpg,3,A06_15_02_W_roh.jpeg,77,0.504927933216095,,
A06_17_04_W_roh.jpg,4,IMG-20250829-WA0018.jpg,74,0.51677405834198,,
A06_17_04_W_roh.jpg,5,IMG-20250919-WA0011.jpg,81,0.4619017243385315,,
A06_18_04_W_roh.jpeg,1,IMG-20250626-WA0020.jpg,82,0.6562340259552002,,
A06_18_04_W_roh.jpeg,2,A08_18_09_M_roh.jpeg,61,0.5388820171356201,,
A06_18_04_W_roh.jpeg,3,A05_21_01_W_roh.jpeg,60,0.5267226696014404,,
A06_18_04_W_roh.jpeg,4,IMG-20250626-WA0016.jpg,53,0.5822826623916626,,
A06_18_04_W_roh.jpeg,5,H05_11_06_M_roh.jpeg,55,0.5087485909461975,,
A07_08_03_W_roh.jpg,1,IMG-20250620-WA0042.jpg,74,0.4749927222728729,,
A07_08_03_W_roh.jpg,2,IMG-20250626-WA0025.jpg,72,0.4840066730976105,,
A07_08_03_W_roh.jpg,3,IMG-20250607-WA0006.jpg,71,0.4885273575782776,,
A07_08_03_W_roh.jpg,4,IMG-20250620-WA0039.jpg,66,0.5208529829978943,,
A07_08_03_W_roh.jpg,5,IMG_20250717_104317.jpg,69,0.4771957993507385,,
A07_08_04_M_roh.jpg,1,H12_04_02_M_roh.jpg,81,0.4396733343601227,,
A07_08_04_M_roh.jpg,2,A07_15_01_W_roh.jpeg,56,0.5544604659080505,,
A07_08_04_M_roh.jpg,3,IMG-20250716-WA0016.jpg,54,0.5057404637336731,,
A07_08_04_M_roh.jpg,4,IMG-20250919-WA0008.jpg,61,0.4258575737476349,,
A07_08_04_M_roh.jpg,5,IMG-20250910-WA0025.jpg,54,0.4610793888568878,,
A07_09_02_W_roh.jpg,1,IMG_20250717_104525.jpg,92,0.4763917624950409,,
A07_09_02_W_roh.jpg,2,IMG_20250501_132350.jpg,95,0.4494459927082062,,
A07_09_02_W_roh.jpg,3,IMG-20250919-WA0020.jpg,92,0.4638367593288421,,
A07_09_02_W_roh.jpg,4,IMG-20250626-WA0009.jpg,89,0.4677689969539642,,
A07_09_02_W_roh.jpg,5,IMG_20250717_113844.jpg,83,0.4936635494232178,,
A07_09_03_W_roh.jpg,1,A08_15_03_W_roh.jpeg,156,0.6708027720451355,,
A07_09_03_W_roh.jpg,2,IMG_20250501_132115.jpg,88,0.4329744875431061,,
A07_09_03_W_roh.jpg,3,IMG-20250626-WA0025.jpg,72,0.490633875131607,,
A07_09_03_W_roh.jpg,4,IMG-20250717-WA0009.jpg,69,0.4992713928222656,,
A07_09_03_W_roh.jpg,5,A08_15_04_M_roh.jpeg,76,0.4477698802947998,,
A07_15_01_W_roh.jpeg,1,IMG-20250626-WA0009.jpg,77,0.4564829170703888,,
A07_15_01_W_roh.jpeg,2,A07_18_01_W_roh.jpeg,68,0.5162797570228577,,
A07_15_01_W_roh.jpeg,3,IMG-20250626-WA0003.jpg,62,0.5286396741867065,,
A07_15_01_W_roh.jpeg,4,IMG_20250717_104525.jpg,67,0.4761248528957367,,
A07_15_01_W_roh.jpeg,5,A07_08_04_M_roh.jpg,56,0.5544604659080505,,
A07_17_03_W_roh.jpg,1,A07_17_06_W_roh.jpg,70,0.3828053474426269,,
A07_17_03_W_roh.jpg,2,A08_09_39_W_roh.jpg,65,0.3739913702011108,,
A07_17_03_W_roh.jpg,3,A04_12_04_W_roh.jpeg,57,0.4107352197170257,,
A07_17_03_W_roh.jpg,4,A08_17_17_W_roh.jpg,60,0.3851615488529205,,
A07_17_03_W_roh.jpg,5,A06_08_04_W_roh.jpg,60,0.3846015632152557,,
