Query,Rank,Candidate,ALIKED_Score
A01_15_01_W_roh_BELLY.jpg,9,A03_12_03_M_roh_BELLY.jpg,0.09014849364757538
A01_15_01_W_roh_BELLY.jpg,10,A01_18_03_W_roh_BELLY.jpg,0.08857348561286926
A01_15_01_W_roh_BELLY.jpg,11,A01_06_01_SA_roh_BELLY.jpg,0.08612169325351715
A01_15_01_W_roh_BELLY.jpg,12,A02_06_06_M_roh_BELLY.jpg,0.08582351356744766
A01_15_01_W_roh_BELLY.jpg,13,A08_06_10_M_roh_BELLY.jpg,0.08569907397031784
A01_15_01_W_roh_BELLY.jpg,14,A01_15_03_W_roh_BELLY.jpg,0.08409381657838821
A01_15_01_W_roh_BELLY.jpg,15,A01_15_07_W_roh_BELLY.jpg,0.08349402993917465
A01_15_01_W_roh_BELLY.jpg,16,A05_15_03_W_roh_BELLY.jpg,0.0798746645450592
A01_15_01_W_roh_BELLY.jpg,17,A08_18_13_W_roh_BELLY.jpg,0.07823092490434647
A01_15_01_W_roh_BELLY.jpg,18,AT01_06_03_W_roh_BELLY.jpg,0.07795736193656921
A01_15_01_W_roh_BELLY.jpg,19,A08_15_05_M_roh_BELLY.jpg,0.07695706188678741
A01_15_01_W_roh_BELLY.jpg,20,A08_12_15_W_roh_BELLY.jpg,0.07692267745733261
A01_15_03_W_roh_BELLY.jpg,1,A08_18_04_W_roh_BELLY.jpg,0.14826931059360504
A01_15_03_W_roh_BELLY.jpg,2,A08_15_14_W_roh_BELLY.jpg,0.1352948695421219
A01_15_03_W_roh_BELLY.jpg,3,AT01_03_02_W_roh_BELLY.jpg,0.12183231115341187
A01_15_03_W_roh_BELLY.jpg,4,A03_12_03_M_roh_BELLY.jpg,0.12110529839992523
A01_15_03_W_roh_BELLY.jpg,5,A05_15_03_W_roh_BELLY.jpg,0.11908780038356781
A01_15_03_W_roh_BELLY.jpg,6,A08_06_02_SA_roh_BELLY.jpg,0.1159411296248436
A01_15_03_W_roh_BELLY.jpg,7,A01_03_07_W_roh_BELLY.jpg,0.11445984989404678
A01_15_03_W_roh_BELLY.jpg,8,A01_18_14_W_roh_BELLY.jpg,0.1144300103187561
A01_15_03_W_roh_BELLY.jpg,9,A08_06_10_M_roh_BELLY.jpg,0.11015341430902481
A01_15_03_W_roh_BELLY.jpg,10,A04_12_04_W_roh_BELLY.jpg,0.10976264625787735
A01_15_03_W_roh_BELLY.jpg,11,A08_06_08_W_roh_BELLY.jpg,0.10903846472501755
A01_15_03_W_roh_BELLY.jpg,12,A08_15_05_M_roh_BELLY.jpg,0.10755495727062225
A01_15_03_W_roh_BELLY.jpg,13,A08_12_13_W_roh_BELLY.jpg,0.10444406419992447
A01_15_03_W_roh_BELLY.jpg,14,A02_06_06_M_roh_BELLY.jpg,0.10430525243282318
A01_15_03_W_roh_BELLY.jpg,15,A07_18_01_W_roh_BELLY.jpg,0.10140018910169601
A01_15_03_W_roh_BELLY.jpg,16,A04_15_05_W_roh_BELLY.jpg,0.09976936131715775
A01_15_03_W_roh_BELLY.jpg,17,A02_06_03_M_roh_BELLY.jpg,0.09975266456604004
A01_15_03_W_roh_BELLY.jpg,18,A08_15_19_M_roh_BELLY.jpg,0.0997297540307045
A01_15_03_W_roh_BELLY.jpg,19,A02_06_07_M_roh_BELLY.jpg,0.09743943810462952
A01_15_03_W_roh_BELLY.jpg,20,A08_18_13_W_roh_BELLY.jpg,0.09616795927286148
A01_15_06_W_roh_BELLY.jpg,1,A01_18_14_W_roh_BELLY.jpg,0.11099132895469666
A01_15_06_W_roh_BELLY.jpg,2,A08_06_08_W_roh_BELLY.jpg,0.10838736593723297
A01_15_06_W_roh_BELLY.jpg,3,A08_06_10_M_roh_BELLY.jpg,0.09936125576496124
A01_15_06_W_roh_BELLY.jpg,4,A08_06_05_SA_roh_BELLY.jpg,0.09677082300186157
A01_15_06_W_roh_BELLY.jpg,5,A05_21_01_W_roh_BELLY.jpg,0.09483905136585236
A01_15_06_W_roh_BELLY.jpg,6,A02_06_06_M_roh_BELLY.jpg,0.09212951362133026
A01_15_06_W_roh_BELLY.jpg,7,AT01_06_03_W_roh_BELLY.jpg,0.0886484831571579
A01_15_06_W_roh_BELLY.jpg,8,A08_15_14_W_roh_BELLY.jpg,0.08814390003681183
A01_15_06_W_roh_BELLY.jpg,9,A01_15_03_W_roh_BELLY.jpg,0.087740458548069
A01_15_06_W_roh_BELLY.jpg,10,A08_18_10_W_roh_BELLY.jpg,0.08387552201747894
A01_15_06_W_roh_BELLY.jpg,11,A04_12_04_W_roh_BELLY.jpg,0.08358540385961533
A01_15_06_W_roh_BELLY.jpg,12,A02_06_03_M_roh_BELLY.jpg,0.08236362785100937
A01_15_06_W_roh_BELLY.jpg,13,A08_18_04_W_roh_BELLY.jpg,0.08127974718809128
A01_15_06_W_roh_BELLY.jpg,14,A08_15_05_M_roh_BELLY.jpg,0.07905983924865723
A01_15_06_W_roh_BELLY.jpg,15,A08_15_19_M_roh_BELLY.jpg,0.07547862082719803
A01_15_06_W_roh_BELLY.jpg,16,A02_06_07_M_roh_BELLY.jpg,0.07502099871635437
A01_15_06_W_roh_BELLY.jpg,17,A01_18_05_W_roh_BELLY.jpg,0.07474850863218307
A01_15_06_W_roh_BELLY.jpg,18,A03_12_03_M_roh_BELLY.jpg,0.07466575503349304
A01_15_06_W_roh_BELLY.jpg,19,A01_03_07_W_roh_BELLY.jpg,0.07360382378101349
A01_15_06_W_roh_BELLY.jpg,20,A04_06_02_M_roh_BELLY.jpg,0.07267247885465622
A01_15_07_W_roh_BELLY.jpg,1,A01_18_03_W_roh_BELLY.jpg,0.1769143044948578
A01_15_07_W_roh_BELLY.jpg,2,A08_06_08_W_roh_BELLY.jpg,0.1110629290342331
A01_15_07_W_roh_BELLY.jpg,3,A08_06_05_SA_roh_BELLY.jpg,0.10644792765378952
A01_15_07_W_roh_BELLY.jpg,4,A01_18_14_W_roh_BELLY.jpg,0.1045379713177681
A01_15_07_W_roh_BELLY.jpg,5,A02_06_06_M_roh_BELLY.jpg,0.10093922168016434
A01_15_07_W_roh_BELLY.jpg,6,A05_15_03_W_roh_BELLY.jpg,0.09773209691047668
A01_15_07_W_roh_BELLY.jpg,7,A08_06_10_M_roh_BELLY.jpg,0.09509944915771484
A01_15_07_W_roh_BELLY.jpg,8,A03_12_03_M_roh_BELLY.jpg,0.09484072774648666
A01_15_07_W_roh_BELLY.jpg,9,A08_18_13_W_roh_BELLY.jpg,0.09387718141078949
A01_15_07_W_roh_BELLY.jpg,10,A02_06_03_M_roh_BELLY.jpg,0.09160924702882767
A01_15_07_W_roh_BELLY.jpg,11,A08_15_05_M_roh_BELLY.jpg,0.09026139974594116
A01_15_07_W_roh_BELLY.jpg,12,AT01_06_03_W_roh_BELLY.jpg,0.0882524698972702
A01_15_07_W_roh_BELLY.jpg,13,A01_15_03_W_roh_BELLY.jpg,0.08774891495704651
